DateTime,Entries,UniqueIPs
1518792029,68812,81234
1518793033,69013,81473
1518793964,68966,81418
1518795138,68920,81348
1518796892,68833,81247
1518798290,68796,81196
1518799247,68763,81155
1518800228,68735,81122
1518801145,68690,81064
1518802160,68649,81002
1518803064,68592,80940
1518804302,68498,80831
1518805263,68473,80785
1518806227,68476,80788
1518807386,68418,80707
1518808352,68374,80649
1518809356,68341,80607
1518810292,68273,80528
1518811580,68237,80485
1518812664,68199,80443
1518813613,68195,80439
1518814644,68142,80366
1518815800,68091,80317
1518816774,68062,80280
1518817720,67941,80134
1518818708,66605,78728
1518819644,66563,78674
1518820599,66518,78620
1518821545,66471,78560
1518822786,66455,78537
1518824228,66413,78475
1518825414,66354,78392
1518826350,66324,78347
1518827330,66296,78296
1518828275,66299,78299
1518829231,66206,78179
1518830239,66188,78156
1518831161,66155,78112
1518832109,66123,78062
1518833071,66125,78064
1518834309,66046,77961
1518835249,66005,77913
1518836173,66008,77916
1518837172,65954,77856
1518838348,65898,77767
1518839346,65863,77728
1518840261,65865,77734
1518841221,65833,77699
1518842186,65767,77618
1518843154,65724,77571
1518844111,65683,77522
1518845056,66523,78427
1518846012,66771,78670
1518846974,66949,78841
1518847940,66947,78831
1518848896,66974,78856
1518849857,67041,78908
1518850830,67031,78888
1518851782,66990,78828
1518852743,66969,78799
1518853700,66940,78763
1518854673,66906,78707
1518855622,67076,78952
1518856580,67207,79102
1518857537,67305,79245
1518858504,67339,79267
1518859456,67355,79291
1518860417,67424,79354
1518861379,67497,79446
1518862340,67596,79604
1518863307,67648,79678
1518864273,67718,79743
1518865458,67829,79873
1518866419,67892,79945
1518867385,67982,80056
1518868334,68037,80133
1518869419,68112,80236
1518870523,68265,80413
1518871476,68368,80528
1518872443,68440,80619
1518873620,68418,80596
1518874576,68394,80562
1518875535,68385,80567
1518877002,68463,80651
1518877958,68448,80615
1518878916,68461,80611
1518879861,68508,80663
1518882540,68496,80636
1518883460,68497,80627
1518884421,68517,80648
1518885393,68506,80634
1518886369,68508,80637
1518887297,68498,80595
1518888260,68519,80615
1518889219,68520,80606
1518890461,68502,80582
1518891375,68517,80601
1518892349,68492,80577
1518893556,68436,80478
1518894533,68450,80479
1518895455,68495,80532
1518896420,68458,80471
1518897401,68443,80443
1518898476,68437,80431
1518899533,68435,80416
1518900496,68437,80405
1518901468,68664,80626
1518902659,68766,80728
1518903613,68808,80727
1518904578,69510,81446
1518905534,68474,80381
1518906751,68447,80318
1518907692,68452,80322
1518908664,68450,80298
1518909878,68428,80272
1518910946,68441,80287
1518912279,68457,80352
1518913217,68475,80375
1518914185,68424,80318
1518915139,68438,80351
1518916110,68418,80304
1518917054,68429,80315
1518918258,68377,80247
1518919222,68320,80176
1518920177,68389,80273
1518921398,68369,80245
1518922334,68359,80230
1518923308,68345,80215
1518924258,68323,80192
1518925479,68297,80162
1518926424,68336,80209
1518927391,68386,80277
1518928339,68365,80263
1518929306,68337,80223
1518930261,68358,80265
1518931217,68325,80242
1518932175,68360,80281
1518933156,68351,80251
1518934096,68321,80217
1518935054,68341,80259
1518936258,68340,80250
1518937484,68305,80202
1518938411,68292,80180
1518939373,68241,80104
1518940354,68229,80076
1518941322,68292,80152
1518942260,68334,80207
1518943215,68317,80188
1518944182,68284,80163
1518945405,68271,80140
1518946340,68269,80141
1518948297,68252,80122
1518949232,68238,80110
1518950178,68221,80066
1518951137,68224,80064
1518952116,68211,80041
1518953061,68199,80020
1518954020,68170,79984
1518954978,68154,79958
1518956060,68140,79941
1518957143,68115,79913
1518958095,68137,79938
1518959068,68128,79925
1518960032,68126,79909
1518960992,68160,79967
1518961955,68130,79951
1518962999,68124,79919
1518964100,68119,79892
1518965073,68093,79850
1518966015,68117,79874
1518966987,68094,79838
1518967959,68058,79780
1518968919,68016,79733
1518969860,68030,79739
1518970817,68054,79783
1518972035,68009,79722
1518972995,67994,79704
1518973937,68009,79721
1518974891,68047,79776
1518975878,68023,79738
1518976843,68046,79757
1518977777,68075,79789
1518978741,68046,79750
1518979714,68066,79771
1518980662,68054,79742
1518981619,68039,79723
1518982595,68022,79697
1518983535,68054,79726
1518984491,68062,79722
1518985459,68051,79709
1518986419,68046,79695
1518987377,68036,79683
1518988350,68037,79672
1518989292,68949,80628
1518990281,69312,81007
1518991246,68305,79988
1518992208,68278,79943
1518993136,68307,79966
1518994099,68290,79940
1518996604,68249,79893
1518997696,68300,79948
1518998674,68282,79924
1518999617,68244,79878
1519000592,68230,79858
1519001537,68189,79821
1519002510,68201,79834
1519003457,68150,79750
1519004421,68171,79773
1519005379,68192,79798
1519006347,68177,79775
1519007293,68134,79726
1519008261,68100,79672
1519009234,68072,79641
1519010181,68060,79619
1519011135,67969,79512
1519012098,67910,79435
1519013065,67960,79504
1519014021,67920,79457
1519014982,67857,79373
1519015943,67893,79412
1519016907,67847,79367
1519017863,67816,79337
1519018814,67790,79305
1519019777,67766,79281
1519020737,67740,79260
1519021722,67739,79249
1519022661,67726,79229
1519023624,67707,79203
